file	vowel	utterance	word	translation	speaker	f0	f1	f2	f3	f1_b	f2_b	f3_b	duration	step_time
2018_07_D11_dentals	а	1	мза	лампа	d11	NA	NA	NA	NA	NA	NA	NA	132.702936842384	2.10882616167284
2018_07_D11_dentals	а	1	мза	лампа	d11	NA	NA	NA	NA	NA	NA	NA	132.702936842384	2.11882616167284
2018_07_D11_dentals	а	1	мза	лампа	d11	180.02268044762806	NA	NA	NA	NA	NA	NA	132.702936842384	2.12882616167284
2018_07_D11_dentals	а	1	мза	лампа	d11	179.20250347721878	696.0535865495734	1844.6070773069007	2914.486312021299	6.512172790507649	12.361189238263407	15.44068500380926	132.702936842384	2.13882616167284
2018_07_D11_dentals	а	1	мза	лампа	d11	179.65397261052422	740.574826659372	1863.865581458668	2165.665669614041	6.835783486081841	12.429781007205117	13.423760752329528	132.702936842384	2.14882616167284
2018_07_D11_dentals	а	1	мза	лампа	d11	181.24843171802013	772.6128222995421	1854.4679420206458	2597.566174055079	7.060575305251241	12.396370478384721	14.651219732270592	132.702936842384	2.15882616167284
2018_07_D11_dentals	а	1	мза	лампа	d11	183.8397227497747	824.9118537359253	1797.3308111372253	2380.8629122175594	7.415668356450503	12.18994629333346	14.050428831003863	132.702936842384	2.16882616167284
2018_07_D11_dentals	а	1	мза	лампа	d11	187.03294975752485	869.8016272613968	1776.2974964454397	2855.3051744974555	7.710418783884931	12.11259863446357	15.300710131005735	132.702936842384	2.17882616167284
2018_07_D11_dentals	а	1	мза	лампа	d11	190.67146073252277	904.3921623637513	1763.1234021178043	2874.9465017871366	7.9305203793734185	12.063648463663291	15.347523962919514	132.702936842384	2.18882616167284
2018_07_D11_dentals	а	1	мза	лампа	d11	194.96327429070783	919.5460748854679	1750.4934934270068	2864.378608322123	8.025414359100807	12.016483845713841	15.322389638339002	132.702936842384	2.19882616167284
2018_07_D11_dentals	а	1	мза	лампа	d11	199.90160601468793	933.4159328294152	1760.2522544764768	2865.8355485728066	8.11117160557373	12.05297724927078	15.325863650823255	132.702936842384	2.20882616167284
2018_07_D11_dentals	а	1	мза	лампа	d11	204.81198487823607	943.6366806471585	1762.840202864335	2909.0428289968336	8.173877196420385	12.062630274902535	15.428058000187573	132.702936842384	2.21882616167284
2018_07_D11_dentals	а	1	мза	лампа	d11	NA	NA	NA	NA	NA	NA	NA	132.702936842384	2.22882616167284
2018_07_D11_dentals	а	1	мза	лампа	d11	NA	NA	NA	NA	NA	NA	NA	132.702936842384	2.23882616167284
2018_07_D11_dentals	а	2	мза	лампа	d11	NA	NA	NA	NA	NA	NA	NA	186.946473069928	3.60593780372098
2018_07_D11_dentals	а	2	мза	лампа	d11	NA	NA	NA	NA	NA	NA	NA	186.946473069928	3.61593780372098
2018_07_D11_dentals	а	2	мза	лампа	d11	171.74462638252763	NA	NA	NA	NA	NA	NA	186.946473069928	3.62593780372098
2018_07_D11_dentals	а	2	мза	лампа	d11	172.43745221697043	701.5160075294621	1511.79718940868	2661.706602446958	6.554035559417068	10.757817751981174	14.652927943698616	186.946473069928	3.63593780372098
2018_07_D11_dentals	а	2	мза	лампа	d11	173.8039138808784	714.8164342336271	1648.406198481532	1888.8195942217255	6.6510982853244744	11.573185585976224	12.517748345606671	186.946473069928	3.64593780372098
2018_07_D11_dentals	а	2	мза	лампа	d11	175.25280679530232	751.0420260867426	1799.989359560863	2067.3423642615144	6.909155226882187	12.199766328203765	13.097175698118079	186.946473069928	3.65593780372098
2018_07_D11_dentals	а	2	мза	лампа	d11	176.42776211929876	791.5940277030154	1768.7893490711351	2698.302149750994	7.191169068181261	12.084761220244422	14.904424998082735	186.946473069928	3.66593780372098
2018_07_D11_dentals	а	2	мза	лампа	d11	178.16877556831827	832.360070319249	1764.7859663117968	2973.188892244354	7.46549768275764	12.069874956624421	15.57532486262762	186.946473069928	3.67593780372098
2018_07_D11_dentals	а	2	мза	лампа	d11	179.84967476623027	863.2404691863605	1764.7529659509073	2925.172359195129	7.668080202782301	12.069753086121949	15.465701810799715	186.946473069928	3.68593780372098
2018_07_D11_dentals	а	2	мза	лампа	d11	181.73991229684339	854.4304515634611	1763.3775501948292	3083.10719235455	7.610833046360989	12.064631939437042	15.825230799774737	186.946473069928	3.69593780372098
2018_07_D11_dentals	а	2	мза	лампа	d11	184.01705289892448	831.9572213455649	1756.3520584836342	2537.0593108248386	7.463050182757905	12.03841593956937	14.496641384518883	186.946473069928	3.70593780372098
2018_07_D11_dentals	а	2	мза	лампа	d11	186.55290682150624	825.810473006188	1763.3907265806097	2429.6597224907746	7.422250499008451	12.064679454024668	14.20212925337112	186.946473069928	3.71593780372098
2018_07_D11_dentals	а	2	мза	лампа	d11	189.08937879423908	821.6378597280815	1757.6084732250042	2240.5417447722084	7.394410990954625	12.043110943514924	13.656729723281959	186.946473069928	3.72593780372098
2018_07_D11_dentals	а	2	мза	лампа	d11	191.62617565905128	823.6821513655862	1761.3513899302159	2123.689544395885	7.408042479134391	12.057074124684062	13.297707865035761	186.946473069928	3.73593780372098
2018_07_D11_dentals	а	2	мза	лампа	d11	194.17570658548615	830.6648940652632	1754.5704378304167	2090.364591419064	7.454526109041995	12.03174985266281	13.192262624554962	186.946473069928	3.74593780372098
2018_07_D11_dentals	а	2	мза	лампа	d11	196.1831527018461	849.1287464001489	1756.178428318041	2083.408069425828	7.575922363856827	12.037689871746082	13.169984242009882	186.946473069928	3.75593780372098
